epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,496.566,1.09077,0.89778,1.28359,0.88978,0.83747,0.89192,0.5757,1.2578,0.87722,1.51287,0.000748036,0.000748036,0.000748036
35,511.192,1.06516,0.90773,1.25993,0.88717,0.876,0.90445,0.59361,1.2543,0.87013,1.50129,0.000737037,0.000737037,0.000737037
36,525.648,1.06898,0.90831,1.26563,0.86112,0.86258,0.90032,0.58289,1.26616,0.86979,1.51226,0.000726038,0.000726038,0.000726038
37,539.917,1.01538,0.88508,1.23152,0.82656,0.84002,0.8773,0.54238,1.30752,0.92537,1.55391,0.00071504,0.00071504,0.00071504
38,554.448,1.02298,0.88211,1.23322,0.8953,0.81369,0.87362,0.56234,1.26284,0.88572,1.52575,0.000704041,0.000704041,0.000704041
39,569.679,1.005,0.8379,1.2275,0.91727,0.87749,0.92114,0.57384,1.29323,0.82892,1.56221,0.000693042,0.000693042,0.000693042
40,584.201,1.02513,0.87715,1.24244,0.86648,0.8623,0.9039,0.5886,1.24708,0.86997,1.5189,0.000682043,0.000682043,0.000682043
41,598.708,1.00881,0.82723,1.21956,0.88089,0.86559,0.90163,0.5732,1.30068,0.87869,1.54045,0.000671044,0.000671044,0.000671044
42,613.381,1.00442,0.83834,1.23531,0.86607,0.88439,0.9104,0.5885,1.25986,0.79256,1.53081,0.000660045,0.000660045,0.000660045
43,627.852,1.02678,0.87623,1.24735,0.89447,0.82765,0.86759,0.56372,1.26613,0.8906,1.52622,0.000649046,0.000649046,0.000649046
44,642.285,1.00741,0.82392,1.2253,0.92201,0.81153,0.89852,0.58905,1.26413,0.7928,1.53948,0.000638047,0.000638047,0.000638047
45,656.868,0.97607,0.77848,1.20622,0.89783,0.87661,0.9058,0.58281,1.24105,0.75564,1.53178,0.000627048,0.000627048,0.000627048
46,671.494,0.99239,0.7965,1.23532,0.87707,0.87243,0.90188,0.58128,1.25796,0.79096,1.51678,0.000616049,0.000616049,0.000616049
47,686.081,0.98171,0.80369,1.20784,0.90119,0.83874,0.91177,0.58542,1.26305,0.82465,1.53136,0.000605051,0.000605051,0.000605051
48,700.668,0.98173,0.77623,1.2038,0.90931,0.858,0.91894,0.58877,1.29167,0.77491,1.54947,0.000594052,0.000594052,0.000594052
49,715.274,0.94487,0.72527,1.17427,0.93715,0.83699,0.91195,0.59423,1.24119,0.75659,1.50949,0.000583053,0.000583053,0.000583053
50,729.923,0.95858,0.76167,1.20057,0.94227,0.85834,0.91042,0.58961,1.24438,0.75453,1.49768,0.000572054,0.000572054,0.000572054
51,744.388,0.96508,0.76857,1.20144,0.87937,0.88256,0.89992,0.58364,1.26994,0.80157,1.54668,0.000561055,0.000561055,0.000561055
52,758.809,0.93866,0.74906,1.19527,0.85562,0.86066,0.89249,0.55922,1.31825,0.83592,1.5601,0.000550056,0.000550056,0.000550056
53,773.308,0.93534,0.73203,1.18292,0.93597,0.86937,0.93063,0.58592,1.27658,0.71963,1.56057,0.000539057,0.000539057,0.000539057
54,787.625,0.93343,0.72137,1.17382,0.93063,0.87655,0.9021,0.57368,1.28642,0.78065,1.54639,0.000528058,0.000528058,0.000528058
55,802.26,0.92426,0.73792,1.19432,0.91215,0.85096,0.89329,0.5957,1.22695,0.72989,1.48372,0.000517059,0.000517059,0.000517059
56,816.727,0.90355,0.71218,1.1657,0.88043,0.90528,0.92076,0.58392,1.26128,0.7414,1.54606,0.00050606,0.00050606,0.00050606
57,831.225,0.92891,0.71357,1.17623,0.89081,0.87919,0.9049,0.58076,1.2747,0.75633,1.53756,0.000495062,0.000495062,0.000495062
58,845.765,0.91197,0.71986,1.15884,0.88257,0.8676,0.89981,0.57153,1.23902,0.76798,1.55234,0.000484063,0.000484063,0.000484063
59,860.336,0.91874,0.7348,1.18233,0.84469,0.86946,0.87264,0.5631,1.28032,0.81284,1.57786,0.000473064,0.000473064,0.000473064
60,874.851,0.88835,0.70252,1.16251,0.90603,0.86287,0.90786,0.58741,1.25845,0.7458,1.56154,0.000462065,0.000462065,0.000462065
61,889.438,0.85821,0.66277,1.12421,0.91734,0.89847,0.9187,0.59124,1.24592,0.72921,1.55051,0.000451066,0.000451066,0.000451066
62,904.068,0.8806,0.70143,1.15493,0.89406,0.89683,0.90627,0.58189,1.23718,0.73036,1.5566,0.000440067,0.000440067,0.000440067
63,919.155,0.84731,0.63504,1.12377,0.91003,0.87163,0.913,0.57701,1.2777,0.74177,1.60016,0.000429068,0.000429068,0.000429068
64,933.504,0.86856,0.68787,1.14406,0.93382,0.87848,0.91438,0.58209,1.26769,0.71505,1.58573,0.000418069,0.000418069,0.000418069
65,947.894,0.84183,0.67215,1.13194,0.91649,0.87403,0.91157,0.58032,1.26786,0.76862,1.56195,0.00040707,0.00040707,0.00040707
66,962.439,0.85334,0.67271,1.13924,0.91996,0.87112,0.89293,0.56635,1.27331,0.74021,1.56993,0.000396071,0.000396071,0.000396071
67,976.822,0.85715,0.66375,1.1428,0.92837,0.89456,0.91109,0.56971,1.30322,0.71834,1.60025,0.000385073,0.000385073,0.000385073
68,991.218,0.84477,0.64707,1.12565,0.93024,0.88941,0.9256,0.58247,1.26849,0.71884,1.56837,0.000374074,0.000374074,0.000374074
69,1005.82,0.84926,0.67869,1.13184,0.94868,0.85993,0.91022,0.56201,1.28056,0.75164,1.60043,0.000363075,0.000363075,0.000363075
70,1020.26,0.80476,0.6322,1.11142,0.93345,0.90386,0.91443,0.56961,1.28203,0.73244,1.5956,0.000352076,0.000352076,0.000352076
