epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2905,1.40017,3.23561,1.60924,0.00661,0.83172,0.30569,0.18741,1.19603,3.64484,1.5039,0.000361075,0.000361075,0.000361075
2,30.9766,1.39609,2.25266,1.54611,0.65681,0.45358,0.60975,0.35862,1.39242,2.86978,1.7143,0.000724167,0.000724167,0.000724167
3,45.5694,1.37291,2.07588,1.52349,0.4811,0.53799,0.48466,0.26925,1.42331,2.72714,1.73305,0.00107993,0.00107993,0.00107993
4,60.0726,1.36953,1.98717,1.52555,0.65237,0.55737,0.6367,0.34758,1.50773,2.5018,1.80309,0.001078,0.001078,0.001078
5,74.7145,1.35906,1.8268,1.4871,0.68192,0.56839,0.64133,0.37127,1.47603,4.5251,1.74994,0.001067,0.001067,0.001067
6,89.218,1.33224,1.72241,1.4609,0.63823,0.58795,0.67228,0.3993,1.60157,2.06955,1.80801,0.00105601,0.00105601,0.00105601
7,103.757,1.31925,1.67526,1.46794,0.65877,0.64597,0.6941,0.42257,1.41916,1.95673,1.70894,0.00104501,0.00104501,0.00104501
8,118.284,1.31702,1.58345,1.45891,0.68455,0.71424,0.77277,0.46714,1.35475,1.74969,1.63475,0.00103401,0.00103401,0.00103401
9,132.827,1.32582,1.54577,1.45549,0.79692,0.73519,0.80646,0.51073,1.34524,1.51857,1.63066,0.00102301,0.00102301,0.00102301
10,147.423,1.2803,1.39533,1.40529,0.84762,0.67669,0.80182,0.49011,1.35003,1.56506,1.62945,0.00101201,0.00101201,0.00101201
11,161.995,1.25744,1.41421,1.41682,0.7309,0.75766,0.7877,0.49513,1.32485,1.44923,1.631,0.00100101,0.00100101,0.00100101
12,176.805,1.26211,1.38311,1.44526,0.82826,0.74518,0.83393,0.51753,1.31649,1.4705,1.57956,0.000990012,0.000990012,0.000990012
13,191.454,1.23444,1.33352,1.39839,0.87459,0.74493,0.8426,0.53879,1.29538,1.32278,1.55096,0.000979013,0.000979013,0.000979013
14,206.08,1.19401,1.23139,1.36582,0.78631,0.81364,0.83888,0.53409,1.28228,1.26006,1.57399,0.000968014,0.000968014,0.000968014
15,220.672,1.24529,1.26642,1.39928,0.8634,0.78065,0.85997,0.55611,1.24292,1.24326,1.5155,0.000957015,0.000957015,0.000957015
16,235.128,1.20248,1.1946,1.3585,0.85109,0.78721,0.84413,0.52483,1.36492,1.19027,1.66626,0.000946016,0.000946016,0.000946016
17,249.728,1.16989,1.17856,1.35763,0.80743,0.82448,0.87314,0.56741,1.26286,1.11091,1.5576,0.000935018,0.000935018,0.000935018
18,264.367,1.18498,1.18321,1.35046,0.81556,0.72712,0.81338,0.5233,1.31393,1.25832,1.59287,0.000924019,0.000924019,0.000924019
19,279.026,1.18026,1.10416,1.34489,0.8339,0.74913,0.82782,0.53733,1.23287,1.16548,1.52389,0.00091302,0.00091302,0.00091302
20,293.503,1.17836,1.14046,1.34395,0.85734,0.79073,0.8613,0.55103,1.32576,1.12468,1.58439,0.000902021,0.000902021,0.000902021
21,308.027,1.17224,1.11284,1.3493,0.85472,0.75747,0.8547,0.51677,1.3475,1.10024,1.57829,0.000891022,0.000891022,0.000891022
22,322.378,1.16839,1.04908,1.31973,0.87988,0.83036,0.88439,0.55957,1.29156,1.0021,1.53232,0.000880023,0.000880023,0.000880023
23,336.885,1.12878,1.03083,1.31504,0.88025,0.80297,0.869,0.54367,1.31896,1.02732,1.57906,0.000869024,0.000869024,0.000869024
24,351.384,1.11149,0.98573,1.29037,0.89378,0.84459,0.90589,0.58651,1.29799,1.00907,1.56309,0.000858025,0.000858025,0.000858025
25,365.815,1.12739,1.07956,1.3107,0.82245,0.82142,0.86198,0.54978,1.27399,0.97016,1.53161,0.000847026,0.000847026,0.000847026
26,380.296,1.11907,0.98972,1.30012,0.86954,0.84344,0.89554,0.58172,1.28143,0.96016,1.55278,0.000836027,0.000836027,0.000836027
27,394.924,1.103,0.98831,1.3064,0.87102,0.82188,0.88108,0.57794,1.2404,0.9339,1.52197,0.000825029,0.000825029,0.000825029
28,409.429,1.09323,0.98139,1.29529,0.82975,0.82151,0.8648,0.55205,1.29616,1.02684,1.55357,0.00081403,0.00081403,0.00081403
29,423.857,1.09358,0.94806,1.28508,0.84636,0.82828,0.86704,0.55814,1.27548,0.95798,1.54465,0.000803031,0.000803031,0.000803031
30,438.399,1.10529,0.96238,1.29826,0.87321,0.85655,0.88883,0.57669,1.26214,0.87852,1.49544,0.000792032,0.000792032,0.000792032
31,452.973,1.08453,0.93343,1.2809,0.89276,0.7877,0.86826,0.5557,1.29538,0.97012,1.54286,0.000781033,0.000781033,0.000781033
32,467.549,1.07263,0.9366,1.27461,0.88067,0.83018,0.88136,0.56973,1.2774,0.95009,1.50656,0.000770034,0.000770034,0.000770034
33,482.124,1.09523,0.94583,1.28034,0.87848,0.84349,0.87889,0.58224,1.20174,0.92943,1.4824,0.000759035,0.000759035,0.000759035
